Rk;Player;Nacionalidad;Posicion;Equipo;Competicion;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;;CrdY;CrdR
787;Paulo Dybala;ar ARG;FW,MF;Roma;it Serie A;29;1993;28;25;1959;21.8;13;9;22;6;7;;3;0
788;Aron Dønnum;no NOR;FW,MF;Toulouse;fr Ligue 1;25;1998;27;19;1595;17.7;0;1;1;0;0;;8;0
789;George Earthy;eng ENG;FW;West Ham;eng Premier League;18;2004;3;0;34;0.4;1;0;1;1;0;;0;0
790;Simon Ebonog;cm CMR;MF;Le Havre;fr Ligue 1;18;2004;4;0;20;0.2;0;0;0;0;0;;0;0
791;Festy Ebosele;ie IRL;DF;Udinese;it Serie A;20;2002;31;20;1700;18.9;0;0;0;0;0;;6;1
792;Enzo Ebosse;cm CMR;DF;Udinese;it Serie A;24;1999;1;0;8;0.1;0;0;0;0;0;;0;0
793;Tyronne Ebuehi;ng NGA;DF;Empoli;it Serie A;27;1995;15;11;1099;12.2;0;1;1;0;0;;0;0
794;Ederson;br BRA;GK;Manchester City;eng Premier League;29;1993;33;33;2785;30.9;0;0;0;0;0;;5;0
795;Éderson;br BRA;MF;Atalanta;it Serie A;24;1999;36;32;2869;31.9;6;1;7;6;0;;8;0
796;Odsonne Édouard;fr FRA;FW,MF;Crystal Palace;eng Premier League;25;1998;30;17;1555;17.3;7;0;7;7;0;;4;0
797;John Egan;ie IRL;DF;Sheffield Utd;eng Premier League;30;1992;6;6;482;5.4;0;0;0;0;0;;2;0
798;Maximilian Eggestein;de GER;MF;Freiburg;de Bundesliga;26;1996;33;33;2914;32.4;1;2;3;1;0;;6;0
799;Lilian Egloff;de GER;MF,DF;Stuttgart;de Bundesliga;20;2002;5;1;106;1.2;0;0;0;0;0;;1;0
800;Kingsley Ehizibue;nl NED;DF;Udinese;it Serie A;28;1995;23;11;955;10.6;0;1;1;0;0;;4;0
801;Hjalmar Ekdal;se SWE;DF;Burnley;eng Premier League;24;1998;8;5;437;4.9;0;0;0;0;0;;2;0
802;Hugo Ekitike;fr FRA;FW;Paris S-G;fr Ligue 1;21;2002;1;0;9;0.1;0;0;0;0;0;;0;0
803;Hugo Ekitike;fr FRA;FW;Eint Frankfurt;de Bundesliga;21;2002;14;7;716;8.0;4;2;6;4;0;;3;0
804;Emmanuel Ekong;se SWE;FW;Empoli;it Serie A;21;2002;1;0;5;0.1;0;0;0;0;0;;0;0
805;Caleb Ekuban;gh GHA;FW;Genoa;it Serie A;29;1994;29;10;1131;12.6;4;1;5;4;0;;0;0
806;Anthony Elanga;se SWE;FW,MF;Nott'ham Forest;eng Premier League;21;2002;36;25;2433;27.0;5;9;14;5;0;;1;0
807;Simon Elisor;fr FRA;FW;Metz;fr Ligue 1;24;1999;14;9;767;8.5;1;0;1;1;0;;1;0
808;Harvey Elliott;eng ENG;MF,FW;Liverpool;eng Premier League;20;2003;34;11;1352;15.0;3;6;9;3;0;;2;0
809;Elif Elmas;mk MKD;FW,MF;Napoli;it Serie A;23;1999;11;4;339;3.8;2;0;2;2;0;;2;0
810;Elif Elmas;mk MKD;MF,FW;RB Leipzig;de Bundesliga;23;1999;14;2;266;3.0;0;0;0;0;0;;0;0
811;Mohamed Elneny;eg EGY;MF;Arsenal;eng Premier League;31;1992;3;0;28;0.3;0;0;0;0;0;;0;0
812;Aritz Elustondo;es ESP;DF;Real Sociedad;es La Liga;29;1994;15;7;812;9.0;0;1;1;0;0;;2;0
813;Nico Elvedi;ch SUI;DF;Gladbach;de Bundesliga;26;1996;30;28;2482;27.6;2;1;3;2;0;;5;0
814;Adri Embarba;es ESP;FW,MF;Almería;es La Liga;31;1992;36;29;2476;27.5;3;2;5;2;1;;5;0
815;Breel Embolo;ch SUI;FW;Monaco;fr Ligue 1;26;1997;5;2;182;2.0;1;0;1;1;0;;0;0
816;Emanuel Emegha;nl NED;FW;Strasbourg;fr Ligue 1;20;2003;28;23;2078;23.1;8;1;9;8;0;;3;0
817;Emerson;br BRA;DF;Tottenham;eng Premier League;24;1999;22;11;1161;12.9;1;0;1;1;0;;4;0
