Rk;Player;Nacionalidad;Posicion;Equipo;Competicion;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;;CrdY;CrdR
2256;Dani Rodríguez;es ESP;MF;Mallorca;es La Liga;35;1988;36;31;2615;29.1;2;4;6;2;0;;9;0
2257;Guido Rodríguez;ar ARG;MF;Betis;es La Liga;29;1994;24;22;1846;20.5;2;0;2;2;0;;6;0
2258;Jay Rodriguez;eng ENG;FW;Burnley;eng Premier League;34;1989;21;7;822;9.1;2;1;3;1;1;;0;0
2259;Kirian Rodríguez;es ESP;MF;Las Palmas;es La Liga;27;1996;37;36;3211;35.7;6;2;8;6;0;;8;0
2260;Miguel Rodríguez;es ESP;MF;Celta Vigo;es La Liga;20;2003;15;2;300;3.3;0;0;0;0;0;;2;0
2261;Ricardo Rodríguez;ch SUI;DF;Torino;it Serie A;30;1992;35;34;2772;30.8;1;2;3;1;0;;4;0
2262;Rodrygo;br BRA;FW;Real Madrid;es La Liga;22;2001;34;28;2380;26.4;10;5;15;10;0;;2;0
2263;Mads Roerslev;dk DEN;DF;Brentford;eng Premier League;24;1999;34;22;1985;22.1;1;2;3;1;0;;1;0
2264;Rogério;br BRA;DF;Wolfsburg;de Bundesliga;25;1998;13;10;906;10.1;1;0;1;1;0;;0;0
2265;Morgan Rogers;eng ENG;MF,FW;Aston Villa;eng Premier League;21;2002;11;8;638;7.1;3;1;4;3;0;;3;0
2266;Merlin Röhl;de GER;MF,FW;Freiburg;de Bundesliga;21;2002;24;17;1477;16.4;2;4;6;2;0;;3;1
2267;Alessio Romagnoli;it ITA;DF;Lazio;it Serie A;28;1995;29;26;2411;26.8;0;0;0;0;0;;9;0
2268;Simone Romagnoli;it ITA;DF;Frosinone;it Serie A;33;1990;33;30;2715;30.2;1;1;2;1;0;;6;0
2269;Carlos Romero;es ESP;DF;Villarreal;es La Liga;21;2001;7;2;262;2.9;0;0;0;0;0;;1;0
2270;Cristian Romero;ar ARG;DF;Tottenham;eng Premier League;25;1998;33;33;2790;31.0;5;0;5;5;0;;7;1
2271;Isaac Romero;es ESP;FW;Sevilla;es La Liga;23;2000;14;14;1039;11.5;4;4;8;4;0;;2;0
2272;Luka Romero;ar ARG;FW,MF;Milan;it Serie A;18;2004;4;0;88;1.0;0;0;0;0;0;;1;0
2273;Luka Romero;ar ARG;FW;Almería;es La Liga;18;2004;13;5;438;4.9;3;0;3;3;0;;2;0
2274;Oriol Romeu;es ESP;MF;Barcelona;es La Liga;31;1991;28;11;936;10.4;0;1;1;0;0;;4;0
2275;Valentin Rongier;fr FRA;MF;Marseille;fr Ligue 1;28;1994;10;10;851;9.5;0;0;0;0;0;;2;0
2276;Frank Ronstadt;de GER;DF,MF;Darmstadt 98;de Bundesliga;26;1997;4;0;76;0.8;0;0;0;0;0;;0;0
2277;Marten de Roon;nl NED;MF,DF;Atalanta;it Serie A;32;1991;30;29;2599;28.9;0;5;5;0;0;;10;0
2278;Unai Ropero;es ESP;MF;Alavés;es La Liga;21;2001;1;0;5;0.1;0;0;0;0;0;;0;0
2279;Vitor Roque;br BRA;FW;Barcelona;es La Liga;18;2005;14;2;328;3.6;2;0;2;2;0;;4;1
2280;Pablo Rosario;nl NED;MF,DF;Nice;fr Ligue 1;26;1997;30;21;2009;22.3;0;0;0;0;0;;4;0
2281;Valentin Rosier;fr FRA;DF,MF;Nice;fr Ligue 1;26;1996;3;0;53;0.6;0;0;0;0;0;;0;0
2282;Francesco Rossi;it ITA;GK;Atalanta;it Serie A;32;1991;1;0;5;0.1;0;0;0;0;0;;0;0
2283;Joe Rothwell;eng ENG;MF;Bournemouth;eng Premier League;28;1995;11;3;386;4.3;0;0;0;0;0;;0;0
2284;Anthony Rouault;fr FRA;DF;Stuttgart;de Bundesliga;22;2001;22;11;1010;11.2;0;2;2;0;0;;3;0
2285;Jérôme Roussillon;fr FRA;DF;Union Berlin;de Bundesliga;30;1993;23;8;752;8.4;0;1;1;0;0;;2;0
2286;Nicolò Rovella;it ITA;MF;Lazio;it Serie A;21;2001;23;16;1318;14.6;0;2;2;0;0;;6;0
2287;Amir Rrahmani;xk KVX;DF;Napoli;it Serie A;29;1994;30;30;2600;28.9;3;0;3;3;0;;5;0
2288;Ruan;br BRA;DF;Sassuolo;it Serie A;24;1999;26;16;1516;16.8;0;0;0;0;0;;7;1
2289;Pelly Ruddock Mpanzu;cd COD;MF;Luton Town;eng Premier League;30;1993;27;11;1101;12.2;0;0;0;0;0;;1;0
2290;Antonio Rüdiger;de GER;DF;Real Madrid;es La Liga;30;1993;33;30;2709;30.1;1;0;1;1;0;;7;0
2291;Fabian Rüdlin;de GER;MF;Freiburg;de Bundesliga;26;1997;1;0;7;0.1;0;0;0;0;0;;0;0
2292;Javier Rueda Garcia;es ESP;MF,DF;Celta Vigo;es La Liga;21;2002;1;0;20;0.2;0;0;0;0;0;;0;0
2293;Daniele Rugani;it ITA;DF;Juventus;it Serie A;29;1994;17;13;1187;13.2;2;0;2;2;0;;2;0
2294;Matteo Ruggeri;it ITA;DF;Atalanta;it Serie A;21;2002;34;28;2449;27.2;0;4;4;0;0;;3;0
2295;Mário Rui;pt POR;DF;Napoli;it Serie A;32;1991;21;14;1205;13.4;0;2;2;0;0;;7;1
2296;Aitor Ruibal;es ESP;DF,FW;Betis;es La Liga;27;1996;18;11;1017;11.3;2;1;3;2;0;;5;0
2297;Fabián Ruiz Peña;es ESP;MF;Paris S-G;fr Ligue 1;27;1996;21;14;1197;13.3;1;3;4;1;0;;3;0
2298;Sergio Ruiz;es ESP;MF;Granada;es La Liga;28;1994;35;30;2494;27.7;0;4;4;0;0;;9;0
2299;Julian Ryerson;no NOR;DF;Dortmund;de Bundesliga;25;1997;21;20;1767;19.6;4;1;5;4;0;;3;0
2300;Frederik Rønnow;dk DEN;GK;Union Berlin;de Bundesliga;30;1992;33;33;2970;33.0;0;0;0;0;0;;2;0
2301;José Sá;pt POR;GK;Wolves;eng Premier League;30;1993;35;35;3037;33.7;0;1;1;0;0;;1;0
2302;Youssouf Sabaly;sn SEN;DF;Betis;es La Liga;30;1993;12;12;1046;11.6;0;1;1;0;0;;2;0
2303;Emmanuel Sabbi;us USA;FW,MF;Le Havre;fr Ligue 1;25;1997;30;18;1584;17.6;5;1;6;3;2;;5;0
2304;Stefano Sabelli;it ITA;DF;Genoa;it Serie A;30;1993;32;30;2429;27.0;0;1;1;0;0;;5;0
2305;Marcel Sabitzer;at AUT;MF;Dortmund;de Bundesliga;29;1994;25;23;1961;21.8;4;3;7;3;1;;3;1
2306;Falaye Sacko;ml MLI;DF;Montpellier;fr Ligue 1;28;1995;19;15;1382;15.4;0;1;1;0;0;;0;0
2307;Dominic Sadi;eng ENG;FW;Bournemouth;eng Premier League;19;2003;1;0;1;0.0;0;0;0;0;0;;0;0
2308;Umar Sadiq;ng NGA;FW;Real Sociedad;es La Liga;26;1997;26;12;1077;12.0;3;1;4;3;0;;4;0
2309;Alexis Saelemaekers;be BEL;FW,MF;Bologna;it Serie A;24;1999;30;21;1887;21.0;4;2;6;4;0;;7;1
2310;Pablo Saenz;es ESP;MF;Granada;es La Liga;22;2001;1;0;19;0.2;0;0;0;0;0;;0;0
2311;Modibo Sagnan;ml MLI;DF;Montpellier;fr Ligue 1;24;1999;13;12;1054;11.7;2;0;2;2;0;;5;0
2312;Wesley Saïd;fr FRA;FW,MF;Lens;fr Ligue 1;28;1995;27;11;1020;11.3;7;1;8;7;0;;1;0
2313;Théo Sainte-Luce;fr FRA;DF;Montpellier;fr Ligue 1;24;1998;6;3;346;3.8;0;0;0;0;0;;1;0
2314;Bukayo Saka;eng ENG;FW;Arsenal;eng Premier League;21;2001;35;35;2919;32.4;16;9;25;10;6;;4;0
2315;Mamadou Sakho;fr FRA;DF;Montpellier;fr Ligue 1;33;1990;1;0;7;0.1;0;0;0;0;0;;0;0
2316;Ibrahim Salah;ma MAR;FW,MF;Rennes;fr Ligue 1;21;2001;23;4;524;5.8;4;1;5;4;0;;3;0
2317;Mohamed Salah;eg EGY;FW;Liverpool;eng Premier League;31;1992;32;28;2534;28.2;18;10;28;13;5;;2;0
2318;Amine Salama;fr FRA;FW;Reims;fr Ligue 1;23;2000;11;2;313;3.5;0;0;0;0;0;;0;0
2319;Kike Salas;es ESP;DF;Sevilla;es La Liga;21;2002;23;19;1605;17.8;3;0;3;3;0;;10;0
2320;William Saliba;fr FRA;DF;Arsenal;eng Premier League;22;2001;38;38;3420;38.0;2;1;3;2;0;;4;0
2321;Mohammed Salisu;gh GHA;DF;Monaco;fr Ligue 1;24;1999;12;11;1035;11.5;0;1;1;0;0;;2;0
2322;Roland Sallai;hu HUN;MF,FW;Freiburg;de Bundesliga;26;1997;27;22;1840;20.4;3;2;5;3;0;;6;0
2323;Yoann Salmier;gf GUF;DF;Le Havre;fr Ligue 1;30;1992;20;18;1568;17.4;1;1;2;1;0;;3;0
2324;Salvi;es ESP;MF;Rayo Vallecano;es La Liga;32;1991;1;0;28;0.3;0;0;0;0;0;;0;0
2325;Lazar Samardzic;rs SRB;MF;Udinese;it Serie A;21;2002;34;28;2372;26.4;6;2;8;5;1;;3;0
2326;Diadie Samassékou;ml MLI;MF;Cádiz;es La Liga;27;1996;4;0;92;1.0;0;0;0;0;0;;0;0
2327;Diadie Samassékou;ml MLI;MF;Hoffenheim;de Bundesliga;27;1996;1;0;1;0.0;0;0;0;0;0;;0;0
2328;Mama Samba Baldé;gw GNB;FW,MF;Lyon;fr Ligue 1;27;1995;20;4;551;6.1;2;3;5;2;0;;1;0
2329;Brice Samba;fr FRA;GK;Lens;fr Ligue 1;29;1994;33;33;2970;33.0;0;0;0;0;0;;3;0
2330;Albert Sambi Lokonga;be BEL;MF;Luton Town;eng Premier League;23;1999;17;16;1303;14.5;1;3;4;1;0;;4;0
2331;Junior Sambia;fr FRA;DF,MF;Salernitana;it Serie A;26;1996;18;10;1032;11.5;1;2;3;1;0;;4;0
2332;Fede San Emeterio;es ESP;MF;Cádiz;es La Liga;26;1997;4;3;152;1.7;1;0;1;1;0;;1;1
2333;Antonio Sanabria;py PAR;FW,MF;Torino;it Serie A;27;1996;35;23;2133;23.7;5;0;5;3;2;;2;0
2334;Oihan Sancet;es ESP;MF;Athletic Club;es La Liga;23;2000;30;25;1975;21.9;4;5;9;4;0;;5;2
2335;Renato Sanches;pt POR;MF;Roma;it Serie A;25;1997;7;1;146;1.6;1;0;1;1;0;;2;0
2336;Ricard Sánchez;es ESP;DF;Granada;es La Liga;23;2000;33;25;2295;25.5;3;0;3;3;0;;8;0
2337;Alexis Sánchez;cl CHI;FW,MF;Inter;it Serie A;34;1988;23;6;763;8.5;2;5;7;1;1;;0;0
2338;Antonio Sánchez;es ESP;MF;Mallorca;es La Liga;26;1997;29;21;1452;16.1;3;1;4;3;0;;3;0
2339;Davinson Sánchez;co COL;DF;Tottenham;eng Premier League;27;1996;1;0;77;0.9;0;0;0;0;0;;1;0
2340;Juanlu Sánchez;es ESP;DF;Sevilla;es La Liga;19;2003;26;11;1181;13.1;0;2;2;0;0;;2;0
2341;Manu Sánchez;es ESP;DF,MF;Celta Vigo;es La Liga;22;2000;26;20;1775;19.7;0;5;5;0;0;;3;0
2342;Robert Sánchez;es ESP;GK;Chelsea;eng Premier League;25;1997;16;16;1433;15.9;0;0;0;0;0;;2;0
2343;Jadon Sancho;eng ENG;FW,MF;Manchester Utd;eng Premier League;23;2000;3;0;79;0.9;0;0;0;0;0;;0;0
2344;Jadon Sancho;eng ENG;FW,MF;Dortmund;de Bundesliga;23;2000;14;11;947;10.5;2;2;4;2;0;;1;0
2345;Alex Sandro;br BRA;DF;Juventus;it Serie A;32;1991;16;8;721;8.0;1;0;1;1;0;;1;0
2346;Ibou Sané;sn SEN;MF,FW;Metz;fr Ligue 1;18;2005;9;0;128;1.4;1;0;1;1;0;;1;0
2347;Leroy Sané;de GER;FW;Bayern Munich;de Bundesliga;27;1996;27;25;2137;23.7;8;11;19;8;0;;4;0
2348;Sadibou Sané;sn SEN;DF;Metz;fr Ligue 1;19;2004;14;9;846;9.4;0;0;0;0;0;;1;0
2349;Arouna Sangante;sn SEN;DF;Le Havre;fr Ligue 1;21;2002;30;30;2687;29.9;0;0;0;0;0;;8;0
2350;Ibrahim Sangaré;ci CIV;MF;Nott'ham Forest;eng Premier League;25;1997;17;13;1035;11.5;0;0;0;0;0;;6;0
2351;Morgan Sanson;fr FRA;MF;Nice;fr Ligue 1;28;1994;29;24;1964;21.8;2;3;5;2;0;;4;0
2352;Nicola Sansone;it ITA;FW,MF;Lecce;it Serie A;31;1991;25;4;767;8.5;2;2;4;2;0;;4;0
2353;Baptiste Santamaria;fr FRA;MF;Rennes;fr Ligue 1;28;1995;30;22;1926;21.4;0;1;1;0;0;;3;0
2354;Jesús Santiago;es ESP;MF;Getafe;es La Liga;19;2004;14;8;656;7.3;1;0;1;1;0;;4;0
2355;Andrey Santos;br BRA;MF;Nott'ham Forest;eng Premier League;19;2004;1;0;8;0.1;0;0;0;0;0;;0;0
2356;Andrey Santos;br BRA;MF;Strasbourg;fr Ligue 1;19;2004;11;9;831;9.2;1;0;1;1;0;;4;0
2357;Tiago Santos;pt POR;DF;Lille;fr Ligue 1;21;2002;29;26;2365;26.3;1;2;3;1;0;;6;0
2358;Paco Sanz;es ESP;DF;Almería;es La Liga;18;2004;1;0;24;0.3;0;0;0;0;0;;0;0
2359;Riccardo Saponara;it ITA;FW,MF;Hellas Verona;it Serie A;31;1991;12;3;342;3.8;0;0;0;0;0;;0;0
2360;Pablo Sarabia;es ESP;MF,FW;Wolves;eng Premier League;31;1992;30;20;1745;19.4;4;7;11;2;2;;5;0
2361;Amin Sarr;se SWE;FW,MF;Lyon;fr Ligue 1;22;2001;3;1;98;1.1;0;0;0;0;0;;0;0
2362;Amin Sarr;se SWE;FW,MF;Wolfsburg;de Bundesliga;22;2001;14;2;386;4.3;0;0;0;0;0;;0;0
2363;Bouna Sarr;sn SEN;DF;Bayern Munich;de Bundesliga;31;1992;2;1;106;1.2;0;0;0;0;0;;0;0
2364;Ismaila Sarr;sn SEN;FW,MF;Marseille;fr Ligue 1;25;1998;23;15;1447;16.1;3;4;7;3;0;;1;0
2365;Mamadou Sarr;fr FRA;DF;Lyon;fr Ligue 1;17;2005;1;0;8;0.1;0;0;0;0;0;;0;0
2366;Martin Satriano;uy URU;FW;Brest;fr Ligue 1;22;2001;33;21;1864;20.7;4;4;8;4;0;;4;0
2367;Téji Savanier;fr FRA;MF;Montpellier;fr Ligue 1;31;1991;32;32;2765;30.7;9;6;15;2;7;;8;1
2368;Stefan Savić;me MNE;DF;Atlético Madrid;es La Liga;32;1991;23;19;1630;18.1;0;0;0;0;0;;7;1
2369;Sávio;br BRA;FW,MF;Girona;es La Liga;19;2004;37;35;2976;33.1;9;10;19;9;0;;5;0
2370;Zanos Savva;cy CYP;DF,MF;Torino;it Serie A;17;2005;2;0;28;0.3;1;0;1;1;0;;0;0
2371;Saba Sazonov;ge GEO;DF;Torino;it Serie A;21;2002;12;2;356;4.0;0;0;0;0;0;;2;0
2372;Joe Scally;us USA;DF;Gladbach;de Bundesliga;20;2002;31;25;2236;24.8;1;4;5;1;0;;4;0
2373;Giorgio Scalvini;it ITA;DF;Atalanta;it Serie A;19;2003;33;31;2544;28.3;1;3;4;1;0;;3;0
2374;Gianluca Scamacca;it ITA;FW;Atalanta;it Serie A;24;1999;29;17;1453;16.1;12;6;18;12;0;;1;0
2375;Dane Scarlett;eng ENG;FW;Tottenham;eng Premier League;19;2004;4;0;22;0.2;0;0;0;0;0;;0;0
2376;Kevin Schade;de GER;FW,MF;Brentford;eng Premier League;21;2001;11;3;333;3.7;2;1;3;2;0;;0;0
2377;András Schäfer;hu HUN;MF;Union Berlin;de Bundesliga;24;1999;20;14;1214;13.5;1;2;3;1;0;;1;1
2378;Fabian Schär;ch SUI;DF;Newcastle Utd;eng Premier League;31;1991;36;35;3054;33.9;4;1;5;4;0;;5;0
2379;Patrik Schick;cz CZE;FW;Leverkusen;de Bundesliga;27;1996;20;12;1063;11.8;7;0;7;6;1;;1;0
2380;Stefan Schimmer;de GER;MF,FW;Heidenheim;de Bundesliga;29;1994;16;0;153;1.7;0;1;1;0;0;;0;0
2381;Xaver Schlager;at AUT;MF;RB Leipzig;de Bundesliga;25;1997;29;29;2477;27.5;0;5;5;0;0;;7;0
2382;Keven Schlotterbeck;de GER;DF;Bochum;de Bundesliga;26;1997;27;24;2185;24.3;5;1;6;5;0;;9;0
2383;Nico Schlotterbeck;de GER;DF;Dortmund;de Bundesliga;23;1999;33;32;2859;31.8;2;1;3;2;0;;4;0
2384;Jeffrey Schlupp;gh GHA;FW,MF;Crystal Palace;eng Premier League;30;1992;29;17;1352;15.0;2;2;4;2;0;;1;0
2385;Romano Schmid;at AUT;MF,FW;Werder Bremen;de Bundesliga;23;2000;33;30;2601;28.9;4;6;10;4;0;;5;0
2386;Kenneth Schmidt;de GER;DF;Freiburg;de Bundesliga;21;2002;5;0;68;0.8;0;0;0;0;0;;0;0
2387;Niklas Schmidt;de GER;MF;Toulouse;fr Ligue 1;25;1998;22;15;1269;14.1;1;1;2;1;0;;4;0
2388;Benno Schmitz;de GER;DF;Köln;de Bundesliga;28;1994;22;13;1155;12.8;0;1;1;0;0;;5;0
2389;Fabian Schnellhardt;de GER;MF;Darmstadt 98;de Bundesliga;29;1994;10;2;235;2.6;0;0;0;0;0;;1;0
2390;Jan Schöppner;de GER;MF;Heidenheim;de Bundesliga;24;1999;26;23;1998;22.2;2;2;4;2;0;;3;0
2391;Marcel Schuhen;de GER;GK;Darmstadt 98;de Bundesliga;30;1993;31;31;2790;31.0;0;0;0;0;0;;2;0
2392;Perr Schuurs;nl NED;DF;Torino;it Serie A;23;1999;9;9;770;8.6;1;0;1;1;0;;2;0
2393;Marvin Schwäbe;de GER;GK;Köln;de Bundesliga;28;1995;34;34;3060;34.0;0;0;0;0;0;;0;0
2394;Alexander Schwolow;de GER;GK;Union Berlin;de Bundesliga;31;1992;1;1;90;1.0;0;0;0;0;0;;0;0
2395;Alex Scott;eng ENG;MF;Bournemouth;eng Premier League;19;2003;23;11;1014;11.3;1;1;2;1;0;;3;0
2396;Simone Scuffet;it ITA;GK;Cagliari;it Serie A;27;1996;31;31;2789;31.0;0;0;0;0;0;;3;0
2397;Jérémy Sebas;mq MTQ;FW,MF;Strasbourg;fr Ligue 1;20;2003;14;2;399;4.4;2;0;2;2;0;;0;0
2398;Demba Seck;sn SEN;MF;Torino;it Serie A;22;2001;9;5;425;4.7;0;0;0;0;0;;1;0
2399;Demba Seck;sn SEN;FW,MF;Frosinone;it Serie A;22;2001;11;3;298;3.3;0;0;0;0;0;;0;0
2400;Aleksandar Sedlar;rs SRB;DF;Alavés;es La Liga;31;1991;11;11;946;10.5;1;0;1;1;0;;2;0
2401;Alidu Seidu;gh GHA;DF;Rennes;fr Ligue 1;23;2000;11;7;593;6.6;0;0;0;0;0;;3;0
2402;Alidu Seidu;gh GHA;DF;Clermont Foot;fr Ligue 1;23;2000;14;13;1131;12.6;0;1;1;0;0;;5;1
2403;Nicolas Seiwald;at AUT;MF;RB Leipzig;de Bundesliga;22;2001;21;6;718;8.0;0;2;2;0;0;;1;0
2404;Nikola Sekulov;it ITA;FW;Juventus;it Serie A;21;2002;1;0;11;0.1;0;0;0;0;0;;0;0
2405;Davie Selke;de GER;FW;Köln;de Bundesliga;28;1995;19;16;1265;14.1;6;0;6;6;0;;3;0
2406;Matz Sels;be BEL;GK;Nott'ham Forest;eng Premier League;31;1992;16;16;1440;16.0;0;0;0;0;0;;1;0
2407;Matz Sels;be BEL;GK;Strasbourg;fr Ligue 1;31;1992;19;19;1710;19.0;0;0;0;0;0;;2;0
2408;Nélson Semedo;pt POR;DF,MF;Wolves;eng Premier League;29;1993;36;36;3084;34.3;0;1;1;0;0;;10;1
2409;Vivaldo Semedo;pt POR;FW;Udinese;it Serie A;18;2005;1;0;12;0.1;0;0;0;0;0;;0;0
2410;Antoine Semenyo;gh GHA;FW;Bournemouth;eng Premier League;23;2000;33;25;2105;23.4;8;2;10;8;0;;6;0
2411;Marvin Senaya;tg TOG;DF,MF;Strasbourg;fr Ligue 1;22;2001;32;23;2138;23.8;1;1;2;1;0;;5;1
2412;Marcos Senesi;ar ARG;DF;Bournemouth;eng Premier League;26;1997;31;26;2242;24.9;4;5;9;4;0;;13;0
2413;Stefano Sensi;it ITA;MF;Inter;it Serie A;27;1995;4;0;46;0.5;0;1;1;0;0;;0;0
2414;Suat Serdar;de GER;MF;Hellas Verona;it Serie A;26;1997;25;19;1659;18.4;0;2;2;0;0;;7;0
2415;Benjamin Šeško;si SVN;FW;RB Leipzig;de Bundesliga;20;2003;31;17;1526;17.0;14;2;16;14;0;;0;0
2416;Kevin Sessa;de GER;MF,FW;Heidenheim;de Bundesliga;23;2000;30;7;1011;11.2;3;0;3;3;0;;1;0
2417;Aaron Seydel;de GER;FW;Darmstadt 98;de Bundesliga;27;1996;16;5;619;6.9;1;0;1;1;0;;1;0
2418;Andres Sfait;ro ROU;DF,MF;Salernitana;it Serie A;18;2004;2;0;23;0.3;0;0;0;0;0;;0;0
2419;Stephan El Shaarawy;it ITA;FW,DF;Roma;it Serie A;30;1992;33;19;1738;19.3;3;4;7;3;0;;2;0
2420;Luke Shaw;eng ENG;DF;Manchester Utd;eng Premier League;28;1995;12;12;959;10.7;0;0;0;0;0;;6;0
2421;James Shea;eng ENG;GK;Luton Town;eng Premier League;32;1991;1;0;15;0.2;0;0;0;0;0;;0;0
2422;Eldor Shomurodov;uz UZB;FW,MF;Cagliari;it Serie A;28;1995;22;10;936;10.4;3;3;6;3;0;;1;0
2423;Steven Shpendi;al ALB;FW,MF;Empoli;it Serie A;20;2003;12;4;411;4.6;0;1;1;0;0;;0;0
2424;Sofiane Sidi Ali;fr FRA;MF;Marseille;fr Ligue 1;28;1995;2;0;18;0.2;0;0;0;0;0;;0;0
2425;Vincent Sierro;ch SUI;MF;Toulouse;fr Ligue 1;27;1995;30;25;2261;25.1;6;2;8;2;4;;8;0
2426;Tim Siersleben;de GER;DF;Heidenheim;de Bundesliga;23;2000;14;10;910;10.1;0;0;0;0;0;;1;0
2427;Kiliann Sildillia;fr FRA;DF;Freiburg;de Bundesliga;21;2002;27;20;1806;20.1;0;1;1;0;0;;2;1
2428;André Silva;pt POR;FW;Real Sociedad;es La Liga;27;1995;19;9;729;8.1;3;0;3;2;1;;1;0
2429;Bernardo Silva;pt POR;MF,FW;Manchester City;eng Premier League;28;1994;33;29;2578;28.6;6;9;15;6;0;;8;0
2430;Caio Henrique Oliveira Silva;br BRA;DF;Monaco;fr Ligue 1;26;1997;9;7;623;6.9;0;5;5;0;0;;0;0
2431;Fábio Silva;pt POR;FW;Wolves;eng Premier League;21;2002;8;3;264;2.9;0;0;0;0;0;;2;0
2432;Rui Silva;pt POR;GK;Betis;es La Liga;29;1994;28;28;2475;27.5;0;0;0;0;0;;4;0
2433;Thiago Silva;br BRA;DF;Chelsea;eng Premier League;38;1984;31;28;2527;28.1;3;1;4;3;0;;4;0
2434;Marco Silvestri;it ITA;GK;Udinese;it Serie A;32;1991;17;17;1530;17.0;0;0;0;0;0;;0;0
2435;Mohamed Simakan;fr FRA;DF;RB Leipzig;de Bundesliga;23;2000;32;23;2138;23.8;2;3;5;2;0;;8;0
2436;Giovanni Simeone;ar ARG;FW;Napoli;it Serie A;28;1995;28;8;800;8.9;1;0;1;1;0;;3;0
2437;Giuliano Simeone;ar ARG;FW;Alavés;es La Liga;20;2002;14;6;630;7.0;1;2;3;1;0;;1;0
2438;Jan-Carlo Simic;rs SRB;DF;Milan;it Serie A;18;2005;4;0;146;1.6;1;0;1;1;0;;0;0
2439;Moses Simon;ng NGA;FW,MF;Nantes;fr Ligue 1;28;1995;22;21;1788;19.9;3;5;8;2;1;;0;0
2440;Unai Simón;es ESP;GK;Athletic Club;es La Liga;26;1997;36;36;3182;35.4;0;0;0;0;0;;2;0
2441;Xavi Simons;nl NED;MF;RB Leipzig;de Bundesliga;20;2003;32;32;2653;29.5;8;11;19;7;1;;11;1
2442;Wilfried Singo;ci CIV;DF;Monaco;fr Ligue 1;22;2000;25;24;2187;24.3;1;1;2;1;0;;8;1
2443;Luis Sinisterra;co COL;FW,MF;Bournemouth;eng Premier League;24;1999;20;7;699;7.8;2;2;4;2;0;;0;0
2444;Daley Sinkgraven;nl NED;DF;Las Palmas;es La Liga;28;1995;11;6;388;4.3;0;0;0;0;0;;0;1
2445;Jailson Siqueira;br BRA;DF,MF;Celta Vigo;es La Liga;27;1995;14;9;897;10.0;0;1;1;0;0;;1;0
2446;Ayanda Sishuba;be BEL;MF,FW;Lens;fr Ligue 1;18;2005;7;0;62;0.7;0;0;0;0;0;;0;0
2447;Ibrahima Sissoko;ml MLI;MF;Strasbourg;fr Ligue 1;25;1997;27;18;1642;18.2;0;1;1;0;0;;7;0
2448;Moussa Sissoko;fr FRA;MF;Nantes;fr Ligue 1;33;1989;26;21;1821;20.2;0;0;0;0;0;;7;0
2449;Antonio Sivera;es ESP;GK;Alavés;es La Liga;26;1996;34;34;3060;34.0;0;0;0;0;0;;3;0
2450;Tim Skarke;de GER;FW,DF;Darmstadt 98;de Bundesliga;26;1996;30;29;2404;26.7;8;0;8;8;0;;7;0
2451;Ellyes Skhiri;tn TUN;MF;Eint Frankfurt;de Bundesliga;28;1995;27;24;2168;24.1;2;2;4;2;0;;1;0
2452;Oliver Skipp;eng ENG;MF,DF;Tottenham;eng Premier League;22;2000;21;5;707;7.9;0;0;0;0;0;;3;0
2453;Leo Skiri Østigård;no NOR;DF;Napoli;it Serie A;23;1999;25;18;1625;18.1;1;0;1;1;0;;3;0
2454;Łukasz Skorupski;pl POL;GK;Bologna;it Serie A;32;1991;32;32;2880;32.0;0;0;0;0;0;;2;0
2455;Robert Skov;dk DEN;DF,FW;Hoffenheim;de Bundesliga;27;1996;25;14;1260;14.0;3;4;7;3;0;;2;0
2456;Milan Škriniar;sk SVK;DF;Paris S-G;fr Ligue 1;28;1995;24;17;1629;18.1;0;0;0;0;0;;1;0
2457;Naatan Skyttä;fi FIN;MF,FW;Toulouse;fr Ligue 1;21;2002;8;0;120;1.3;0;0;0;0;0;;0;0
2458;Chris Smalling;eng ENG;DF;Roma;it Serie A;33;1989;8;4;390;4.3;0;0;0;0;0;;0;0
2459;Adam Smith;eng ENG;DF;Bournemouth;eng Premier League;32;1991;28;25;2150;23.9;0;2;2;0;0;;6;0
2460;Emile Smith Rowe;eng ENG;MF;Arsenal;eng Premier League;23;2000;13;3;353;3.9;0;1;1;0;0;;0;0
2461;Hrvoje Smolčić;hr CRO;DF;Eint Frankfurt;de Bundesliga;22;2000;11;3;347;3.9;1;0;1;1;0;;0;0
2462;Cédric Soares;pt POR;DF;Arsenal;eng Premier League;31;1991;3;0;62;0.7;0;0;0;0;0;;0;0
2463;Danilo Soares;br BRA;DF;Bochum;de Bundesliga;31;1991;5;3;351;3.9;0;0;0;0;0;;0;0
2464;Eduard Sobol;ua UKR;DF;Strasbourg;fr Ligue 1;28;1995;3;0;25;0.3;0;0;0;0;0;;0;0
2465;Rubén Sobrino;es ESP;MF,FW;Cádiz;es La Liga;31;1992;32;18;1646;18.3;0;1;1;0;0;;8;1
2466;Andrea Sodero;it ITA;MF;Empoli;it Serie A;18;2004;1;0;5;0.1;0;0;0;0;0;;0;0
2467;Emran Soglo;eng ENG;MF,DF;Marseille;fr Ligue 1;18;2005;3;1;109;1.2;1;1;2;1;0;;1;0
2468;Alex Sola;es ESP;FW,MF;Alavés;es La Liga;24;1999;29;14;1262;14.0;0;3;3;0;0;;2;0
